Source,Country,Code,Year,Sex,Age,Deaths,Population
direct,Brazil,BRA,2016,f,5,296.2154517280861,1462837.5
direct,Brazil,BRA,2016,f,6,298.25456787925833,1466817.5
direct,Brazil,BRA,2016,f,7,278.2355932286163,1472020
direct,Brazil,BRA,2016,f,8,277.22225727114204,1485813
direct,Brazil,BRA,2016,f,9,289.23663290432813,1509856.5
direct,Brazil,BRA,2016,f,10,312.2545139973403,1534714
direct,Brazil,BRA,2016,f,11,291.2107384094467,1549911
direct,Brazil,BRA,2016,f,12,339.2633976607419,1552103.5
direct,Brazil,BRA,2016,f,13,411.6612738100691,1571470
direct,Brazil,BRA,2016,f,14,514.2481646327029,1609442
direct,Brazil,BRA,2016,f,15,627.1792511547584,1638331.5
direct,Brazil,BRA,2016,f,16,711.2677821136268,1660896
direct,Brazil,BRA,2016,f,17,792.2027529074825,1683011.5
direct,Brazil,BRA,2016,f,18,823.9980478068227,1695487
direct,Brazil,BRA,2016,f,19,843.138625511125,1696149.5
direct,Brazil,BRA,2016,f,20,941.015551615562,1697505.5
direct,Brazil,BRA,2016,f,21,983.024734688878,1693487
direct,Brazil,BRA,2016,f,22,947.0252416538297,1686149
direct,Brazil,BRA,2016,f,23,900.0222908481687,1680974
direct,Brazil,BRA,2016,f,24,952.0758168024591,1686492
direct,Brazil,BRA,2016,f,25,949.445815385901,1701962
direct,Brazil,BRA,2016,f,26,1058.1480332803735,1716141
direct,Brazil,BRA,2016,f,27,1088.1240876736044,1729968.5
direct,Brazil,BRA,2016,f,28,1268.241380706772,1744129.5
direct,Brazil,BRA,2016,f,29,1307.2862014849802,1755259
direct,Brazil,BRA,2016,f,30,1347.8016877764146,1762991.5
direct,Brazil,BRA,2016,f,31,1418.6334926632892,1769512
direct,Brazil,BRA,2016,f,32,1534.7192514271771,1769154.5
direct,Brazil,BRA,2016,f,33,1681.0406798420406,1761240.5
direct,Brazil,BRA,2016,f,34,1874.7322199392656,1744054.5
direct,Brazil,BRA,2016,f,35,1963.091709006594,1718230
direct,Brazil,BRA,2016,f,36,2073.1899253536003,1685691
direct,Brazil,BRA,2016,f,37,2138.948548297886,1649731.5
direct,Brazil,BRA,2016,f,38,2222.293756549715,1611566.5
direct,Brazil,BRA,2016,f,39,2380.1898137282788,1572458.5
direct,Brazil,BRA,2016,f,40,2465.5933357075496,1533755
direct,Brazil,BRA,2016,f,41,2630.37110950557,1497026
direct,Brazil,BRA,2016,f,42,2652.6993029031437,1470397
direct,Brazil,BRA,2016,f,43,2882.5825447072903,1446232.5
direct,Brazil,BRA,2016,f,44,3103.1656900709836,1417647.5
direct,Brazil,BRA,2016,f,45,3150.07224407366,1391605
direct,Brazil,BRA,2016,f,46,3397.9331541727247,1366147.5
direct,Brazil,BRA,2016,f,47,3886.255902021244,1343174
direct,Brazil,BRA,2016,f,48,4097.212181454173,1329109
direct,Brazil,BRA,2016,f,49,4219.838411356072,1321242
direct,Brazil,BRA,2016,f,50,4509.641857151917,1311465.5
direct,Brazil,BRA,2016,f,51,4894.637778077352,1299076.5
direct,Brazil,BRA,2016,f,52,5198.182922610173,1281940
direct,Brazil,BRA,2016,f,53,5459.774072977219,1255524.5
direct,Brazil,BRA,2016,f,54,5646.9463780056385,1222579
direct,Brazil,BRA,2016,f,55,5753.23899067096,1185163
direct,Brazil,BRA,2016,f,56,6258.666575252578,1145152
direct,Brazil,BRA,2016,f,57,6578.557836378793,1104657
direct,Brazil,BRA,2016,f,58,7313.184041684607,1063321
direct,Brazil,BRA,2016,f,59,7182.983172143542,1021693
direct,Brazil,BRA,2016,f,60,7583.421512169902,980290.5
direct,Brazil,BRA,2016,f,61,7985.850294155297,939762
direct,Brazil,BRA,2016,f,62,8192.740810916976,899606.5
direct,Brazil,BRA,2016,f,63,8250.451421786802,861174
direct,Brazil,BRA,2016,f,64,8689.12399806534,825521
direct,Brazil,BRA,2016,f,65,9084.905318440162,790093
direct,Brazil,BRA,2016,f,66,9483.83148041188,752366
direct,Brazil,BRA,2016,f,67,9472.706431442944,698746.5
direct,Brazil,BRA,2016,f,68,10193.533931052194,640759.5
direct,Brazil,BRA,2016,f,69,10224.11242971177,595482
direct,Brazil,BRA,2016,f,70,10179.639020420836,554515
direct,Brazil,BRA,2016,f,71,10677.29744634082,522051.00000000006
direct,Brazil,BRA,2016,f,72,11062.907017047875,496060.5
direct,Brazil,BRA,2016,f,73,11626.057556741893,470876
direct,Brazil,BRA,2016,f,74,11306.33076469129,446279.5
direct,Brazil,BRA,2016,f,75,11920.344840136451,420081
direct,Brazil,BRA,2016,f,76,13663.805481315769,394710
direct,Brazil,BRA,2016,f,77,13458.22079304292,369096.5
direct,Brazil,BRA,2016,f,78,13439.195940482916,340944
direct,Brazil,BRA,2016,f,79,14144.364801146676,312838
direct,Brazil,BRA,2016,f,80,15112.679661929007,284329
direct,Brazil,BRA,2016,f,81,14721.228605412896,256474.49999999997
direct,Brazil,BRA,2016,f,82,14093.868231936323,230036
direct,Brazil,BRA,2016,f,83,14434.739161068295,203113
direct,Brazil,BRA,2016,f,84,14708.551819117583,175706
direct,Brazil,BRA,2016,f,85,15023.33600081788,148544
direct,Brazil,BRA,2016,f,86,15172.0966795143,123047.5
direct,Brazil,BRA,2016,f,87,14224.231925351469,99668
direct,Brazil,BRA,2016,f,88,13518.871722418167,78447.5
direct,Brazil,BRA,2016,f,89,13085.001935449336,60030.5
direct,Brazil,BRA,2016,f,90,11660.459901514749,44918.5
direct,Brazil,BRA,2016,f,91,10658.355436342556,33033
direct,Brazil,BRA,2016,f,92,9187.179512441931,23780.5
direct,Brazil,BRA,2016,f,93,7952.371256638947,16653
direct,Brazil,BRA,2016,f,94,6426.982400217291,11341
direct,Brazil,BRA,2016,f,95,5560.188669622409,7507
direct,Brazil,BRA,2016,f,96,4717.70812701228,4822.5
direct,Brazil,BRA,2016,f,97,3624.9031214444262,3013
direct,Brazil,BRA,2016,f,98,2939.2871666752835,1839
direct,Brazil,BRA,2016,f,99,2419.6956121689454,1097
direct,Brazil,BRA,2016,f,100,6443.676090169736,1377
direct,Brazil,BRA,2016,m,0,20372.308570911868,1493974
direct,Brazil,BRA,2016,m,1,1488.6869677624015,1514556.5
direct,Brazil,BRA,2016,m,2,842.6687700761286,1498354
direct,Brazil,BRA,2016,m,3,554.0405441118636,1493413.5
direct,Brazil,BRA,2016,m,4,489.77663395788295,1509823
direct,Brazil,BRA,2016,m,5,430.54850343782226,1521936
direct,Brazil,BRA,2016,m,6,362.3488065405121,1525755.5
direct,Brazil,BRA,2016,m,7,341.26802648521993,1530695
direct,Brazil,BRA,2016,m,8,362.33002327485735,1544343
direct,Brazil,BRA,2016,m,9,369.3618754322261,1568706.5
direct,Brazil,BRA,2016,m,10,400.47537858605386,1594032.5
direct,Brazil,BRA,2016,m,11,425.5288863403801,1609113
direct,Brazil,BRA,2016,m,12,459.6757365009532,1610349.5
direct,Brazil,BRA,2016,m,13,653.9250494193935,1629414.5
direct,Brazil,BRA,2016,m,14,1080.622804565863,1667816
direct,Brazil,BRA,2016,m,15,1841.8133303261136,1696312
direct,Brazil,BRA,2016,m,16,2999.7393379197424,1717920.5
direct,Brazil,BRA,2016,m,17,3889.159551402576,1738721.5
direct,Brazil,BRA,2016,m,18,4530.999260463911,1749033
direct,Brazil,BRA,2016,m,19,4781.5131709522,1747094.5
direct,Brazil,BRA,2016,m,20,4924.220174833721,1745488.5
direct,Brazil,BRA,2016,m,21,5031.573514960019,1738196
direct,Brazil,BRA,2016,m,22,4828.993944092328,1728081.5
direct,Brazil,BRA,2016,m,23,4611.354571913437,1719636.5
direct,Brazil,BRA,2016,m,24,4268.595463892782,1721483.5
direct,Brazil,BRA,2016,m,25,4229.123277561798,1733671
direct,Brazil,BRA,2016,m,26,4146.484318749139,1744205.5
direct,Brazil,BRA,2016,m,27,4511.466882749518,1753579.5
direct,Brazil,BRA,2016,m,28,4474.697514666317,1763452.5
direct,Brazil,BRA,2016,m,29,4357.462916642672,1770596
direct,Brazil,BRA,2016,m,30,4308.927966018372,1773695
direct,Brazil,BRA,2016,m,31,4283.205648003865,1775213.5
direct,Brazil,BRA,2016,m,32,4394.672189685027,1769329
