Source,Country,Code,Year,Sex,Age,Deaths
unpd,American Samoa,ASM,2017,m,85,11
unpd,American Samoa,ASM,2017,t,0,11.999999999999998
unpd,American Samoa,ASM,2017,t,1,3
unpd,American Samoa,ASM,2017,t,10,1
unpd,American Samoa,ASM,2017,t,15,2.9999999999999996
unpd,American Samoa,ASM,2017,t,20,5.999999999999999
unpd,American Samoa,ASM,2017,t,25,4
unpd,American Samoa,ASM,2017,t,30,5
unpd,American Samoa,ASM,2017,t,35,7
unpd,American Samoa,ASM,2017,t,40,8
unpd,American Samoa,ASM,2017,t,45,19
unpd,American Samoa,ASM,2017,t,50,25
unpd,American Samoa,ASM,2017,t,55,21
unpd,American Samoa,ASM,2017,t,60,31
unpd,American Samoa,ASM,2017,t,65,34
unpd,American Samoa,ASM,2017,t,70,36
unpd,American Samoa,ASM,2017,t,75,37
unpd,American Samoa,ASM,2017,t,80,23
unpd,American Samoa,ASM,2017,t,85,32
unpd,American Samoa,ASM,2019,f,0,2
unpd,American Samoa,ASM,2019,f,1,0
unpd,American Samoa,ASM,2019,f,10,0
unpd,American Samoa,ASM,2019,f,15,3
unpd,American Samoa,ASM,2019,f,20,1
unpd,American Samoa,ASM,2019,f,25,1
unpd,American Samoa,ASM,2019,f,30,2
unpd,American Samoa,ASM,2019,f,35,4
unpd,American Samoa,ASM,2019,f,40,3
unpd,American Samoa,ASM,2019,f,45,5
unpd,American Samoa,ASM,2019,f,50,9
unpd,American Samoa,ASM,2019,f,55,10
unpd,American Samoa,ASM,2019,f,60,16
unpd,American Samoa,ASM,2019,f,65,16
unpd,American Samoa,ASM,2019,f,70,9
unpd,American Samoa,ASM,2019,f,75,10
unpd,American Samoa,ASM,2019,f,80,13
unpd,American Samoa,ASM,2019,f,85,9
unpd,American Samoa,ASM,2019,m,0,4
unpd,American Samoa,ASM,2019,m,1,2
unpd,American Samoa,ASM,2019,m,10,0
unpd,American Samoa,ASM,2019,m,15,3
unpd,American Samoa,ASM,2019,m,20,1
unpd,American Samoa,ASM,2019,m,25,1
unpd,American Samoa,ASM,2019,m,30,1
unpd,American Samoa,ASM,2019,m,35,2
unpd,American Samoa,ASM,2019,m,40,12
unpd,American Samoa,ASM,2019,m,45,10
unpd,American Samoa,ASM,2019,m,50,10
unpd,American Samoa,ASM,2019,m,55,23
unpd,American Samoa,ASM,2019,m,60,15
unpd,American Samoa,ASM,2019,m,65,17
unpd,American Samoa,ASM,2019,m,70,22
unpd,American Samoa,ASM,2019,m,75,22
unpd,American Samoa,ASM,2019,m,80,12.999999999999998
unpd,American Samoa,ASM,2019,m,85,7
unpd,American Samoa,ASM,2019,t,0,6
unpd,American Samoa,ASM,2019,t,1,2
unpd,American Samoa,ASM,2019,t,10,0
unpd,American Samoa,ASM,2019,t,15,6
unpd,American Samoa,ASM,2019,t,20,2
unpd,American Samoa,ASM,2019,t,25,2
unpd,American Samoa,ASM,2019,t,30,3
unpd,American Samoa,ASM,2019,t,35,6
unpd,American Samoa,ASM,2019,t,40,15
unpd,American Samoa,ASM,2019,t,45,15
unpd,American Samoa,ASM,2019,t,50,19
unpd,American Samoa,ASM,2019,t,55,33
unpd,American Samoa,ASM,2019,t,60,31
unpd,American Samoa,ASM,2019,t,65,33
unpd,American Samoa,ASM,2019,t,70,31
unpd,American Samoa,ASM,2019,t,75,32
unpd,American Samoa,ASM,2019,t,80,26
unpd,American Samoa,ASM,2019,t,85,16
unpd,American Samoa,ASM,2020,f,0,2.9999999999999996
unpd,American Samoa,ASM,2020,f,1,0
unpd,American Samoa,ASM,2020,f,5,0
unpd,American Samoa,ASM,2020,f,10,0
unpd,American Samoa,ASM,2020,f,15,2
unpd,American Samoa,ASM,2020,f,20,1
unpd,American Samoa,ASM,2020,f,25,5
unpd,American Samoa,ASM,2020,f,30,0
unpd,American Samoa,ASM,2020,f,35,3
unpd,American Samoa,ASM,2020,f,40,8
unpd,American Samoa,ASM,2020,f,45,8
unpd,American Samoa,ASM,2020,f,50,7
unpd,American Samoa,ASM,2020,f,55,14
unpd,American Samoa,ASM,2020,f,60,12
unpd,American Samoa,ASM,2020,f,65,10
unpd,American Samoa,ASM,2020,f,70,11
unpd,American Samoa,ASM,2020,f,75,12
unpd,American Samoa,ASM,2020,f,80,12
unpd,American Samoa,ASM,2020,f,85,12
unpd,American Samoa,ASM,2020,m,0,4.999999999999999
unpd,American Samoa,ASM,2020,m,1,3
unpd,American Samoa,ASM,2020,m,5,0
unpd,American Samoa,ASM,2020,m,10,0
unpd,American Samoa,ASM,2020,m,15,5.999999999999999
unpd,American Samoa,ASM,2020,m,20,5
unpd,American Samoa,ASM,2020,m,25,0
unpd,American Samoa,ASM,2020,m,30,6
unpd,American Samoa,ASM,2020,m,35,7.000000000000001
unpd,American Samoa,ASM,2020,m,40,11
unpd,American Samoa,ASM,2020,m,45,13
unpd,American Samoa,ASM,2020,m,50,16
unpd,American Samoa,ASM,2020,m,55,22
unpd,American Samoa,ASM,2020,m,60,25
