Year,Age,Deaths,Sex,Source,Country,Code,age_spn
2016,52,21812.173454713302,t,direct,USA,USA,1
2016,53,23891.280577322454,t,direct,USA,USA,1
2016,54,26014.39857249542,t,direct,USA,USA,1
2016,55,28548.534648486107,t,direct,USA,USA,1
2016,56,30215.621724201807,t,direct,USA,USA,1
2016,57,32471.74913106925,t,direct,USA,USA,1
2016,58,34272.84462081034,t,direct,USA,USA,1
2016,59,36645.97404776871,t,direct,USA,USA,1
2016,60,37769.02798009874,t,direct,USA,USA,1
2016,61,39617.140754346554,t,direct,USA,USA,1
2016,62,41183.209215000155,t,direct,USA,USA,1
2016,63,42034.2522067525,t,direct,USA,USA,1
2016,64,43706.33982644636,t,direct,USA,USA,1
2016,65,44692.38738935997,t,direct,USA,USA,1
2016,66,45695.4289379964,t,direct,USA,USA,1
2016,67,48294.54896849355,t,direct,USA,USA,1
2016,68,51464.71171864681,t,direct,USA,USA,1
2016,69,56520.9698012196,t,direct,USA,USA,1
2016,70,47249.46736453599,t,direct,USA,USA,1
2016,71,49653.5907987253,t,direct,USA,USA,1
2016,72,53450.77252605886,t,direct,USA,USA,1
2016,73,58673.027962009335,t,direct,USA,USA,1
2016,74,56411.90344910773,t,direct,USA,USA,1
2016,75,56466.895878674484,t,direct,USA,USA,1
2016,76,56580.89614978101,t,direct,USA,USA,1
2016,77,59047.00044592806,t,direct,USA,USA,1
2016,78,60731.063369248295,t,direct,USA,USA,1
2016,79,62084.11916784737,t,direct,USA,USA,1
2016,80,64990.23960224438,t,direct,USA,USA,1
2016,81,67243.33182908586,t,direct,USA,USA,1
2016,82,67123.297671747,t,direct,USA,USA,1
2016,83,69761.40787736504,t,direct,USA,USA,1
2016,84,72919.53992162213,t,direct,USA,USA,1
2016,85,75920.63726056257,t,direct,USA,USA,1
2016,86,77520.69246764728,t,direct,USA,USA,1
2016,87,77025.6261660815,t,direct,USA,USA,1
2016,88,77733.6141624942,t,direct,USA,USA,1
2016,89,76296.51425287324,t,direct,USA,USA,1
2016,90,72806.3025806926,t,direct,USA,USA,1
2016,91,69459.09808876856,t,direct,USA,USA,1
2016,92,63261.787553488364,t,direct,USA,USA,1
2016,93,55984.43408674589,t,direct,USA,USA,1
2016,94,49273.10568499463,t,direct,USA,USA,1
2016,95,41223.73248201239,t,direct,USA,USA,1
2016,96,32965.360764417506,t,direct,USA,USA,1
2016,97,24386.98248658784,t,direct,USA,USA,1
2016,98,19210.764063680443,t,direct,USA,USA,1
2016,99,13594.528791224338,t,direct,USA,USA,1
2016,100,27837.027867926365,t,direct,USA,USA,-1
2017,0,9867.272816174,f,direct,USA,USA,1
2017,1,658.018193274804,f,direct,USA,USA,1
2017,2,405.0111979882912,f,direct,USA,USA,1
2017,3,312.0086265983873,f,direct,USA,USA,1
2017,4,273.0075482735889,f,direct,USA,USA,1
2017,5,211.005834013653,f,direct,USA,USA,1
2017,6,213.00588931236058,f,direct,USA,USA,1
2017,7,219.00605520848342,f,direct,USA,USA,1
2017,8,206.00569576688395,f,direct,USA,USA,1
2017,9,206.00569576688395,f,direct,USA,USA,1
2017,10,200.00552987076108,f,direct,USA,USA,1
2017,11,218.0060275591296,f,direct,USA,USA,1
2017,12,218.0060275591296,f,direct,USA,USA,1
2017,13,274.0075759229427,f,direct,USA,USA,1
2017,14,337.00931783223245,f,direct,USA,USA,1
2017,15,423.0116956766597,f,direct,USA,USA,1
2017,16,512.0141564691484,f,direct,USA,USA,1
2017,17,551.0152347939468,f,direct,USA,USA,1
2017,18,744.0205711192312,f,direct,USA,USA,1
2017,19,807.0223130285211,f,direct,USA,USA,1
2017,20,904.0249950158402,f,direct,USA,USA,1
2017,21,1028.0284235357121,f,direct,USA,USA,1
2017,22,1087.0300548475866,f,direct,USA,USA,1
2017,23,1207.0333727700433,f,direct,USA,USA,1
2017,24,1259.0348105364412,f,direct,USA,USA,1
2017,25,1413.0390685369273,f,direct,USA,USA,1
2017,26,1413.0390685369273,f,direct,USA,USA,1
2017,27,1665.046036174086,f,direct,USA,USA,1
2017,28,1745.0482481223905,f,direct,USA,USA,1
2017,29,1655.0457596805481,f,direct,USA,USA,1
2017,30,1786.0493817458967,f,direct,USA,USA,1
2017,31,1916.0529761618914,f,direct,USA,USA,1
2017,32,2028.0560728895175,f,direct,USA,USA,1
2017,33,2166.059888500343,f,direct,USA,USA,1
2017,34,2279.0630128773228,f,direct,USA,USA,1
2017,35,2385.065943708826,f,direct,USA,USA,1
2017,36,2460.0680174103613,f,direct,USA,USA,1
2017,37,2662.07360257983,f,direct,USA,USA,1
2017,38,2519.069648722236,f,direct,USA,USA,1
2017,39,2770.076588710041,f,direct,USA,USA,1
2017,40,2898.0801278273284,f,direct,USA,USA,1
2017,41,2956.081731489849,f,direct,USA,USA,1
2017,42,3277.0906069324205,f,direct,USA,USA,1
2017,43,3436.0950031796756,f,direct,USA,USA,1
2017,44,3641.1006712972057,f,direct,USA,USA,1
2017,45,4140.114468324755,f,direct,USA,USA,1
2017,46,4863.134458807556,f,direct,USA,USA,1
2017,47,5251.145186756832,f,direct,USA,USA,1
2017,48,5441.150440134056,f,direct,USA,USA,1
2017,49,5780.159813264996,f,direct,USA,USA,1
2017,50,6490.179444306198,f,direct,USA,USA,1
2017,51,7200.199075347399,f,direct,USA,USA,1
2017,52,8160.225618727052,f,direct,USA,USA,1
2017,53,9047.250143703877,f,direct,USA,USA,1
2017,54,9966.275553460026,f,direct,USA,USA,1
2017,55,10959.303009268355,f,direct,USA,USA,1
2017,56,11882.328529621916,f,direct,USA,USA,1
2017,57,12929.35747849535,f,direct,USA,USA,1
2017,58,13554.374759341481,f,direct,USA,USA,1
2017,59,14387.397791253201,f,direct,USA,USA,1
2017,60,15369.424942918637,f,direct,USA,USA,1
2017,61,15902.439680024216,f,direct,USA,USA,1
2017,62,16467.455301909114,f,direct,USA,USA,1
2017,63,17301.47836147019,f,direct,USA,USA,1
2017,64,17921.49550406955,f,direct,USA,USA,1
2017,65,18620.51483096786,f,direct,USA,USA,1
2017,66,19061.52702433289,f,direct,USA,USA,1
2017,67,19936.551217517466,f,direct,USA,USA,1
2017,68,21697.59990802952,f,direct,USA,USA,1
2017,69,23515.65017455474,f,direct,USA,USA,1
2017,70,25874.715399380366,f,direct,USA,USA,1
2017,71,21865.604553120957,f,direct,USA,USA,1
2017,72,23530.650589295044,f,direct,USA,USA,1
2017,73,25389.701989443765,f,direct,USA,USA,1
2017,74,28192.77949058248,f,direct,USA,USA,1
2017,75,27378.75698400849,f,direct,USA,USA,1
2017,76,27440.758698268426,f,direct,USA,USA,1
2017,77,28187.779352335718,f,direct,USA,USA,1
2017,78,29753.822651223774,f,direct,USA,USA,1
2017,79,31235.863627566116,f,direct,USA,USA,1
2017,80,32267.89216169924,f,direct,USA,USA,1
2017,81,33792.9343269638,f,direct,USA,USA,1
2017,82,35949.99396661995,f,direct,USA,USA,1
2017,83,36346.00491576406,f,direct,USA,USA,1
2017,84,38743.07119126513,f,direct,USA,USA,1
2017,85,40258.11308003615,f,direct,USA,USA,1
