Country,iso3,sex,age,Nx,deaths
Costa Rica,CRI,Male,45,149226,500.294950738916
Costa Rica,CRI,Male,50,149636,709.087399938423
Costa Rica,CRI,Male,55,145697,1009.66783405172
Costa Rica,CRI,Male,60,118906,1310.24826816502
Costa Rica,CRI,Male,65,85979,1462.55580357143
Costa Rica,CRI,Male,70,65944,1539.21390086207
Costa Rica,CRI,Male,75,42534,1575.52563115764
Costa Rica,CRI,Male,80,26505,1683.45216286946
Costa Rica,CRI,Male,85,21236,2995.71774938424
Cyprus,CYP,Female,0,31431,8.58284424379233
Cyprus,CYP,Female,5,32815,1.90729872084274
Cyprus,CYP,Female,10,32838,0.032838
Cyprus,CYP,Female,15,35464,3.81459744168548
Cyprus,CYP,Female,20,43849,6.67554552294958
Cyprus,CYP,Female,25,46448,5.72189616252822
Cyprus,CYP,Female,30,46569,10.4901429646351
Cyprus,CYP,Female,35,46631,11.4437923250564
Cyprus,CYP,Female,40,44924,20.0266365688488
Cyprus,CYP,Female,45,40375,41.9605718585403
Cyprus,CYP,Female,50,38864,47.6824680210685
Cyprus,CYP,Female,55,35538,68.6627539503386
Cyprus,CYP,Female,60,33494,105.855079006772
Cyprus,CYP,Female,65,28359,135.418209179835
Cyprus,CYP,Female,70,24216,246.041534988713
Cyprus,CYP,Female,75,17951,337.591873589165
Cyprus,CYP,Female,80,13204,528.321745673439
Cyprus,CYP,Female,85,10877,1401.86455981941
Cyprus,CYP,Male,0,33386,13.3510910458992
Cyprus,CYP,Male,5,34761,2.86094808126411
Cyprus,CYP,Male,10,34917,1.90729872084274
Cyprus,CYP,Male,15,38438,3.81459744168548
Cyprus,CYP,Male,20,49613,15.2583897667419
Cyprus,CYP,Male,25,51892,18.119337848006
Cyprus,CYP,Male,30,49887,12.3974416854778
Cyprus,CYP,Male,35,45302,27.6558314522197
Cyprus,CYP,Male,40,42313,31.4704288939052
Cyprus,CYP,Male,45,39016,52.450714823175304
Cyprus,CYP,Male,50,36918,73.4310007524455
Cyprus,CYP,Male,55,36218,156.398495109105
Cyprus,CYP,Male,60,31495,241.273288186606
