Country,Year,Sex,Age,Deaths,Code,Source
Colombia,2017,t,20,5633,COL,country_public
Colombia,2017,t,25,5518,COL,country_public
Colombia,2017,t,30,5206,COL,country_public
Colombia,2017,t,35,5218,COL,country_public
Colombia,2017,t,40,5295,COL,country_public
Colombia,2017,t,45,6789,COL,country_public
Colombia,2017,t,50,9190,COL,country_public
Colombia,2017,t,55,12008,COL,country_public
Colombia,2017,t,60,15226,COL,country_public
Colombia,2017,t,65,17857,COL,country_public
Colombia,2017,t,70,20545,COL,country_public
Colombia,2017,t,75,25681,COL,country_public
Colombia,2017,t,80,28086,COL,country_public
Colombia,2017,t,85,26284,COL,country_public
Colombia,2017,t,90,16368,COL,country_public
Colombia,2017,t,95,6548,COL,country_public
Colombia,2017,t,100,1553,COL,country_public
Colombia,2017,t,TOT,227258,COL,country_public
Colombia,2018,f,0,3196,COL,country_public
Colombia,2018,f,1,726,COL,country_public
Colombia,2018,f,5,390,COL,country_public
Colombia,2018,f,10,497,COL,country_public
Colombia,2018,f,15,834,COL,country_public
Colombia,2018,f,20,1133,COL,country_public
Colombia,2018,f,25,1251,COL,country_public
Colombia,2018,f,30,1395,COL,country_public
Colombia,2018,f,35,1762,COL,country_public
Colombia,2018,f,40,1968,COL,country_public
Colombia,2018,f,45,2881,COL,country_public
Colombia,2018,f,50,3931,COL,country_public
Colombia,2018,f,55,5422,COL,country_public
Colombia,2018,f,60,6776,COL,country_public
Colombia,2018,f,65,7954,COL,country_public
Colombia,2018,f,70,9414,COL,country_public
Colombia,2018,f,75,11695,COL,country_public
Colombia,2018,f,80,14454,COL,country_public
Colombia,2018,f,85,14673,COL,country_public
Colombia,2018,f,90,9967,COL,country_public
Colombia,2018,f,95,4355,COL,country_public
Colombia,2018,f,100,1128,COL,country_public
Colombia,2018,f,TOT,105803,COL,country_public
Colombia,2018,m,0,4042,COL,country_public
Colombia,2018,m,1,851,COL,country_public
Colombia,2018,m,5,432,COL,country_public
Colombia,2018,m,10,607,COL,country_public
Colombia,2018,m,15,2805,COL,country_public
Colombia,2018,m,20,4672,COL,country_public
Colombia,2018,m,25,4484,COL,country_public
Colombia,2018,m,30,4038,COL,country_public
Colombia,2018,m,35,3992,COL,country_public
Colombia,2018,m,40,3499,COL,country_public
Colombia,2018,m,45,4171,COL,country_public
Colombia,2018,m,50,5588,COL,country_public
Colombia,2018,m,55,7349,COL,country_public
Colombia,2018,m,60,9300,COL,country_public
Colombia,2018,m,65,10894,COL,country_public
Colombia,2018,m,70,12158,COL,country_public
Colombia,2018,m,75,14199,COL,country_public
Colombia,2018,m,80,14360,COL,country_public
Colombia,2018,m,85,12607,COL,country_public
Colombia,2018,m,90,7114,COL,country_public
Colombia,2018,m,95,2543,COL,country_public
Colombia,2018,m,100,537,COL,country_public
Colombia,2018,m,TOT,130242,COL,country_public
Colombia,2018,t,0,7250,COL,country_public
Colombia,2018,t,1,1577,COL,country_public
Colombia,2018,t,5,826,COL,country_public
Colombia,2018,t,10,1104,COL,country_public
Colombia,2018,t,15,3651,COL,country_public
Colombia,2018,t,20,5809,COL,country_public
Colombia,2018,t,25,5737,COL,country_public
Colombia,2018,t,30,5443,COL,country_public
Colombia,2018,t,35,5756,COL,country_public
Colombia,2018,t,40,5473,COL,country_public
Colombia,2018,t,45,7056,COL,country_public
Colombia,2018,t,50,9531,COL,country_public
Colombia,2018,t,55,12775,COL,country_public
Colombia,2018,t,60,16082,COL,country_public
Colombia,2018,t,65,18850,COL,country_public
Colombia,2018,t,70,21580,COL,country_public
Colombia,2018,t,75,25898,COL,country_public
Colombia,2018,t,80,28816,COL,country_public
Colombia,2018,t,85,27280,COL,country_public
Colombia,2018,t,90,17085,COL,country_public
Colombia,2018,t,95,6908,COL,country_public
Colombia,2018,t,100,1697,COL,country_public
Colombia,2018,t,TOT,236207,COL,country_public
Colombia,2019,f,0,3056,COL,country_public
Colombia,2019,f,1,690,COL,country_public
Colombia,2019,f,5,357,COL,country_public
Colombia,2019,f,10,466,COL,country_public
Colombia,2019,f,15,888,COL,country_public
Colombia,2019,f,20,1121,COL,country_public
Colombia,2019,f,25,1261,COL,country_public
Colombia,2019,f,30,1434,COL,country_public
Colombia,2019,f,35,1746,COL,country_public
Colombia,2019,f,40,2173,COL,country_public
Colombia,2019,f,45,2811,COL,country_public
Colombia,2019,f,50,3848,COL,country_public
Colombia,2019,f,55,5322,COL,country_public
Colombia,2019,f,60,6863,COL,country_public
Colombia,2019,f,65,8311,COL,country_public
Colombia,2019,f,70,9722,COL,country_public
Colombia,2019,f,75,11989,COL,country_public
Colombia,2019,f,80,14875,COL,country_public
Colombia,2019,f,85,15200,COL,country_public
Colombia,2019,f,90,10979,COL,country_public
Colombia,2019,f,95,4740,COL,country_public
Colombia,2019,f,100,1246,COL,country_public
Colombia,2019,f,TOT,109098,COL,country_public
Colombia,2019,m,0,4043,COL,country_public
Colombia,2019,m,1,789,COL,country_public
Colombia,2019,m,5,474,COL,country_public
Colombia,2019,m,10,644,COL,country_public
Colombia,2019,m,15,2798,COL,country_public
Colombia,2019,m,20,4604,COL,country_public
Colombia,2019,m,25,4460,COL,country_public
Colombia,2019,m,30,4015,COL,country_public
Colombia,2019,m,35,3764,COL,country_public
Colombia,2019,m,40,3616,COL,country_public
Colombia,2019,m,45,3989,COL,country_public
Colombia,2019,m,50,5484,COL,country_public
Colombia,2019,m,55,7264,COL,country_public
Colombia,2019,m,60,9554,COL,country_public
Colombia,2019,m,65,11345,COL,country_public
Colombia,2019,m,70,12778,COL,country_public
Colombia,2019,m,75,14327,COL,country_public
Colombia,2019,m,80,15113,COL,country_public
Colombia,2019,m,85,12711,COL,country_public
Colombia,2019,m,90,7744,COL,country_public
Colombia,2019,m,95,2763,COL,country_public
Colombia,2019,m,100,589,COL,country_public
Colombia,2019,m,TOT,132868,COL,country_public
Colombia,2019,t,0,7101,COL,country_public
Colombia,2019,t,1,1479,COL,country_public
Colombia,2019,t,5,831,COL,country_public
Colombia,2019,t,10,1110,COL,country_public
Colombia,2019,t,15,3686,COL,country_public
Colombia,2019,t,20,5725,COL,country_public
Colombia,2019,t,25,5721,COL,country_public
Colombia,2019,t,30,5449,COL,country_public
Colombia,2019,t,35,5510,COL,country_public
Colombia,2019,t,40,5791,COL,country_public
Colombia,2019,t,45,6800,COL,country_public
Colombia,2019,t,50,9332,COL,country_public
Colombia,2019,t,55,12586,COL,country_public
Colombia,2019,t,60,16423,COL,country_public
Colombia,2019,t,65,19656,COL,country_public
Colombia,2019,t,70,22506,COL,country_public
Colombia,2019,t,75,26316,COL,country_public
Colombia,2019,t,80,29992,COL,country_public
Colombia,2019,t,85,27911,COL,country_public
Colombia,2019,t,90,18723,COL,country_public
Colombia,2019,t,95,7503,COL,country_public
Colombia,2019,t,100,1835,COL,country_public
Colombia,2019,t,TOT,241986,COL,country_public
Colombia,2020,f,0,2719,COL,country_public
Colombia,2020,f,1,514,COL,country_public
Colombia,2020,f,5,310,COL,country_public
Colombia,2020,f,10,413,COL,country_public
Colombia,2020,f,15,841,COL,country_public
Colombia,2020,f,20,1149,COL,country_public
Colombia,2020,f,25,1376,COL,country_public
Colombia,2020,f,30,1543,COL,country_public
Colombia,2020,f,35,2109,COL,country_public
Colombia,2020,f,40,2560,COL,country_public
Colombia,2020,f,45,3346,COL,country_public
Colombia,2020,f,50,4890,COL,country_public
Colombia,2020,f,55,6756,COL,country_public
Colombia,2020,f,60,8968,COL,country_public
Colombia,2020,f,65,10849,COL,country_public
Colombia,2020,f,70,12389,COL,country_public
Colombia,2020,f,75,14073,COL,country_public
Colombia,2020,f,80,17309,COL,country_public
Colombia,2020,f,85,16781,COL,country_public
Colombia,2020,f,90,12300,COL,country_public
Colombia,2020,f,95,4987,COL,country_public
Colombia,2020,f,100,1264,COL,country_public
Colombia,2020,f,TOT,127446,COL,country_public
Colombia,2020,m,0,3531,COL,country_public
Colombia,2020,m,1,709,COL,country_public
Colombia,2020,m,5,422,COL,country_public
Colombia,2020,m,10,669,COL,country_public
Colombia,2020,m,15,2535,COL,country_public
Colombia,2020,m,20,4535,COL,country_public
Colombia,2020,m,25,4731,COL,country_public
Colombia,2020,m,30,4376,COL,country_public
Colombia,2020,m,35,4367,COL,country_public
Colombia,2020,m,40,4586,COL,country_public
Colombia,2020,m,45,5232,COL,country_public
Colombia,2020,m,50,7317,COL,country_public
Colombia,2020,m,55,10241,COL,country_public
Colombia,2020,m,60,13602,COL,country_public
Colombia,2020,m,65,16141,COL,country_public
Colombia,2020,m,70,18172,COL,country_public
Colombia,2020,m,75,18998,COL,country_public
Colombia,2020,m,80,19849,COL,country_public
Colombia,2020,m,85,15776,COL,country_public
Colombia,2020,m,90,9513,COL,country_public
Colombia,2020,m,95,3228,COL,country_public
Colombia,2020,m,100,711,COL,country_public
Colombia,2020,m,TOT,169252,COL,country_public
Colombia,2020,t,0,6257,COL,country_public
Colombia,2020,t,1,1225,COL,country_public
Colombia,2020,t,5,733,COL,country_public
Colombia,2020,t,10,1082,COL,country_public
Colombia,2020,t,15,3380,COL,country_public
Colombia,2020,t,20,5687,COL,country_public
Colombia,2020,t,25,6109,COL,country_public
Colombia,2020,t,30,5921,COL,country_public
Colombia,2020,t,35,6478,COL,country_public
Colombia,2020,t,40,7150,COL,country_public
Colombia,2020,t,45,8579,COL,country_public
Colombia,2020,t,50,12212,COL,country_public
Colombia,2020,t,55,16997,COL,country_public
Colombia,2020,t,60,22576,COL,country_public
Colombia,2020,t,65,26993,COL,country_public
Colombia,2020,t,70,30564,COL,country_public
Colombia,2020,t,75,33073,COL,country_public
Colombia,2020,t,80,37162,COL,country_public
Colombia,2020,t,85,32558,COL,country_public
Colombia,2020,t,90,21817,COL,country_public
Colombia,2020,t,95,8240,COL,country_public
Colombia,2020,t,100,1981,COL,country_public
Colombia,2020,t,TOT,296800,COL,country_public
