"Country" "iso3" "sex" "age" "Nx" "deaths" "cluster" "lmx" "lmx.hat" "lmx.hatU" "lmx.hatL"
"69" "Andorra" "AND" "Male" 70 1584 27.8669833729216 2 -4.04026597595941 -3.94163986893682 -3.76284870154476 -4.12043103632888
"70" "Andorra" "AND" "Male" 75 1135 32.8432304038005 2 -3.54264228220927 -3.57611086486299 -3.38809326540911 -3.76412846431686
"71" "Andorra" "AND" "Male" 80 671 22.8907363420428 2 -3.37803683480277 -3.15643314343281 -2.9526741569838 -3.36019212988182
"72" "Andorra" "AND" "Male" 85 764 71.6579572446556 2 -2.36666358391071 -2.34159753302507 -2.16407715704472 -2.51911790900542
"73" "Armenia" "ARM" "Female" 0 97104 133.624452648751 8 -6.5885045749128 -6.52198488692362 -6.41152130512116 -6.63244846872608
"74" "Armenia" "ARM" "Female" 5 100229 10.1230645946023 8 -9.20039640334586 -8.47669446597524 -8.26917257162246 -8.68421636032803
"75" "Armenia" "ARM" "Female" 10 92565 12.1476775135228 8 -8.93852837905882 -9.02509357883065 -8.76725589251491 -9.28293126514639
"76" "Armenia" "ARM" "Female" 15 79246 13.159983972983 8 -8.7031315092416 -8.89036602087764 -8.66408530763569 -9.11664673411958
"77" "Armenia" "ARM" "Female" 20 83570 24.2953550270456 8 -8.14315470207108 -8.47391536026916 -8.27943172246526 -8.66839899807306
"78" "Armenia" "ARM" "Female" 25 121179 33.4061131621877 8 -8.19628515823516 -8.02427610789141 -7.86018743723184 -8.18836477855098
"79" "Armenia" "ARM" "Female" 30 140965 50.6153229730117 8 -7.93201255559193 -7.6044457270419 -7.49178693445233 -7.71710451963146
"80" "Armenia" "ARM" "Female" 35 128446 77.9475973784379 8 -7.40722708910141 -7.14561166116451 -7.03554851681429 -7.25567480551473
"81" "Armenia" "ARM" "Female" 40 103854 129.57522681091 8 -6.68647973115838 -6.6232939615619 -6.54524675784283 -6.70134116528098
"82" "Armenia" "ARM" "Female" 45 89222 181.202856243382 8 -6.19926576851234 -6.06865362069039 -5.99191201133467 -6.1453952300461
"83" "Armenia" "ARM" "Female" 50 92854 321.913454108354 8 -5.66450091273323 -5.51399089109914 -5.46269890581695 -5.56528287638134
