Country,iso3,sex,age,Nx,Dxhat_WM,Dx_expected,Dx_observed,GHE_2019,Dxhat_spinoff
Armenia,ARM,Female,55,114141,849.097561566477,555.662240588694,698.491457027561,NA,919.8831447548731
Armenia,ARM,Female,60,112885,1348.72295585446,868.472099049595,1186.42317048739,NA,1405.3662724699707
Armenia,ARM,Female,65,76729,1608.6567519807,1079.34392056797,1521.49660856873,NA,1510.1999027418813
Armenia,ARM,Female,70,50547,1278.34015520228,877.466631720995,1600.45651240663,NA,1636.7490227731034
Armenia,ARM,Female,75,26455,2075.96671374012,1679.97882451366,1614.62880283907,NA,1710.252307823625
Armenia,ARM,Female,80,38221,3078.17377479459,2566.43998890605,3724.2754643542,NA,3912.845655309885
Armenia,ARM,Female,85,21275,4083.27988162462,3796.69217984973,4721.39732692253,NA,4009.343140842161
Armenia,ARM,Male,0,107883,210.995379750644,282.828082889569,177.153630405541,NA,247.08879674974136
Armenia,ARM,Male,5,113643,19.4999673053193,24.9848129761103,19.2338227297444,NA,25.795310446892536
Armenia,ARM,Male,10,105888,19.3573648827473,22.9860279380215,23.2830485675854,NA,38.34190947155241
Armenia,ARM,Male,15,91231,46.1131147698314,51.9684109903095,772.389828568157,NA,94.8129034256152
Armenia,ARM,Male,20,92927,66.3560073694693,69.9574763331089,512.227068486878,NA,97.6455676634899
Armenia,ARM,Male,25,111248,104.129006112831,100.938644423486,424.156406513837,NA,105.26140718063397
Armenia,ARM,Male,30,126226,152.523344266449,130.920419994818,337.098051000258,NA,147.10682465963845
Armenia,ARM,Male,35,108316,208.790660827585,157.904018009017,365.442631865144,NA,184.60876616339223
Armenia,ARM,Male,40,86905,399.675604131609,271.834765180081,410.996422540854,NA,306.7933028439606
Armenia,ARM,Male,45,73107,550.247567505104,337.794671437012,517.288600784179,NA,462.9410060694105
Armenia,ARM,Male,50,70401,1111.71531858832,652.603314936002,698.491457027561,NA,837.4910188527883
Armenia,ARM,Male,55,85257,2084.09465071195,1183.28074254859,1380.78601070376,NA,1573.2477761747723
Armenia,ARM,Male,60,84196,2691.91505735957,1470.10639551433,2032.71137059615,NA,2302.8058093734367
Armenia,ARM,Male,65,54592,2915.88584524574,1707.9618150469,2277.68953378552,NA,2094.6452802098647
Armenia,ARM,Male,70,33796,2317.46055501423,1411.14223689071,2195.69271056925,NA,1919.0587713173686
Armenia,ARM,Male,75,15945,1989.35200003028,1394.15256406696,1639.93646432558,NA,1715.9718754871296
Armenia,ARM,Male,80,21033,2539.36644728826,1784.91503901332,2907.34415156979,NA,3437.71036366219
